Age,Year,Salaries,Rentals,RSUs,P.Pension,S.Pension,DBI,Tax Free,Index Funds,Shares,Cash,P.Contrib,IT,PRSI,USC,CGT,Inflows,Outflows,Pension,Cash,R.Estate,Index Funds,Shares,Withdraw%,Net Worth
30,2025,"€70,000",€0,€0,€0,€0,€0,"€2,400","€5,520","€2,940","€1,166",€0,"€57,974","€40,000","€3,600","€20,000",€0,"€8,987","€8,987",0%,"€41,574",,,,
31,2026,"€70,510",€0,€0,€0,€0,€0,"€2,433","€5,546","€2,961","€1,173",€0,"€58,397","€40,347","€7,351","€20,174",€0,"€18,148","€18,060",0%,"€63,733",,,,
32,2027,"€71,027",€0,€0,€0,€0,€0,"€2,466","€5,573","€2,983","€1,180",€0,"€58,825","€46,802","€11,257","€20,349",€0,"€24,732","€24,463",0%,"€80,801",,,,
33,2028,"€71,552",€0,€0,€0,€0,€0,"€2,499","€5,600","€3,005","€1,188",€0,"€59,260","€47,209","€15,324","€20,525",€0,"€31,642","€31,121",0%,"€98,612",,,,
34,2029,"€72,084",€0,€0,€0,€0,€0,"€2,533","€5,629","€3,028","€1,195",€0,"€59,700","€47,619","€19,556","€20,704",€0,"€38,895","€38,044",0%,"€117,200",,,,
35,2030,"€72,624",€0,€0,"€40,757","€9,141",€0,"€2,567","€5,658","€3,050","€1,204","€3,422","€106,620","€85,737","€23,960","€20,883","€41,767",€0,"€30,351",47.9%,"€116,962",,,,
36,2031,"€73,172",€0,€0,€0,"€4,347",€0,"€2,602","€5,688","€3,073","€1,215",€0,"€64,940","€64,326","€28,541","€21,065","€53,018",€0,"€27,160",7.2%,"€129,784",,,,
37,2032,"€73,728",€0,€0,€0,"€3,989",€0,"€2,638","€5,719","€3,097","€1,226",€0,"€65,037","€64,418","€33,305","€21,248","€64,462",€0,"€24,205",6.5%,"€143,219",,,,
38,2033,"€74,292",€0,€0,€0,"€3,635",€0,"€2,673","€5,751","€3,120","€1,238",€0,"€65,145","€64,521","€38,256","€21,432","€76,100",€0,"€21,491",5.7%,"€157,279",,,,
39,2034,"€74,864",€0,€0,€0,"€3,286",€0,"€2,710","€5,784","€3,144","€1,249",€0,"€65,263","€64,634","€43,402","€21,618","€87,936",€0,"€19,022",5%,"€171,979",,,,
40,2035,$462,$0,$0,$0,$0,$0,$84,$149,$0,$0,$0,$164,$503,$93,$0,$513,$0,$0,0.2%,$606,,,,
41,2036,$148,$0,$0,$0,$0,$0,$27,$48,$0,$0,$0,$52,$193,$60,$0,$184,$0,$0,0%,$244,,,,
42,2037,$48,$0,$0,$0,$0,$0,$9,$15,$0,$0,$0,$17,$65,$29,$0,$65,$0,$0,0%,$95,,,,
43,2038,$15,$0,$0,$0,$0,$0,$3,$5,$0,$0,$0,$5,$22,$13,$0,$23,$0,$0,0%,$36,,,,
44,2039,$5,$0,$0,$0,$0,$0,$1,$2,$0,$0,$0,$2,$7,$5,$0,$8,$0,$0,0%,$13,,,,
45,2040,$2,$0,$0,$0,$0,$0,$0,$1,$0,$0,$0,$1,$2,$2,$0,$3,$0,$0,0%,$5,,,,
46,2041,$1,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$1,$1,$0,$1,$0,$0,0%,$2,,,,
47,2042,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,0%,$1,,,,
48,2043,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,0%,$0,,,,
49,2044,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,0%,$0,,,,
50,2045,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,0%,$0,,,,
51,2046,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,0%,$0,,,,
52,2047,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,0%,$0,,,,
53,2048,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,0%,$0,,,,
54,2049,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,0%,$0,,,,
55,2050,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,0%,$0,,,,
56,2051,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,0%,$0,,,,
57,2052,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,0%,$0,,,,
58,2053,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,0%,$0,,,,
59,2054,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,0%,$0,,,,
60,2055,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,0%,$0,,,,
61,2056,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,0%,$0,,,,
62,2057,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,0%,$0,,,,
63,2058,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,0%,$0,,,,
64,2059,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,0%,$0,,,,
65,2060,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,1%,$0,,,,
66,2061,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,0%,$0,,,,
67,2062,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,0%,$0,,,,
68,2063,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,0%,$0,,,,
69,2064,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,0%,$0,,,,
70,2065,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,0%,$0,,,,
71,2066,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,0%,$0,,,,
72,2067,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,0%,$0,,,,
73,2068,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,0%,$0,,,,
74,2069,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,0%,$0,,,,
75,2070,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,0%,$0,,,,
76,2071,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,0%,$0,,,,
77,2072,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,0%,$0,,,,
78,2073,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,0%,$0,,,,
79,2074,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,0%,$0,,,,
80,2075,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,0%,$0,,,,
81,2076,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,0%,$0,,,,
82,2077,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,0%,$0,,,,
83,2078,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,0%,$0,,,,
84,2079,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,0%,$0,,,,
85,2080,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,0%,$0,,,,
86,2081,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,0%,$0,,,,
87,2082,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,0%,$0,,,,
88,2083,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,0%,$0,,,,
89,2084,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,0%,$0,,,,
90,2085,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,0%,$0,,,,
